3.546e-01,6.083e-01,2.334e-01,5.941e-01,8.501e-01,3.342e-01,6.510e-01,5.193e-01,1.426e-01,9.263e-01,6.697e-01,2.862e-01,3.478e-01,1.972e-01,3.750e-02,6.077e-01,7.919e-01,1.673e-01,1.083e-01,1.572e-01,9.270e-01,9.931e-01,2.314e-01,1.687e-01,2.077e-01,3.031e-01,2.845e-01,5.999e-01,6.470e-01,1.554e-01,6.448e-01,4.008e-01,2.027e-01,3.520e-01,4.191e-01,1.922e-01,4.040e-01,6.231e-01,5.066e-01
7.576e-02,1.079e+00,5.288e-01,6.490e-01,1.056e+00,8.717e-01,1.101e+00,4.156e-01,9.950e-01,6.508e-01,2.369e-01,1.014e+00,2.278e-01,2.522e-01,9.243e-01,8.659e-01,7.210e-01,8.792e-01,8.851e-01,8.708e-01,1.190e+00,6.975e-01,9.745e-01,5.395e-01,2.077e-01,6.431e-01,8.532e-01,5.102e-01,1.037e+00,2.231e-01,2.345e-01,5.824e-01,4.201e-01,8.330e-02,1.699e-01,9.511e-01,3.959e-01,2.205e-01,6.702e-01
2.152e-01,8.227e-01,1.182e+00,9.149e-01,9.490e-01,1.086e+00,9.007e-01,1.392e+00,9.916e-01,1.682e+00,1.057e+00,1.551e+00,7.308e-01,3.132e-01,1.373e+00,1.104e+00,1.120e+00,1.031e+00,1.053e+00,7.464e-01,1.800e+00,1.398e+00,1.143e+00,5.886e-01,9.407e-01,7.821e-01,1.012e+00,6.797e-01,1.009e+00,4.872e-01,1.061e+00,8.537e-01,1.267e+00,1.063e+00,1.045e+00,8.902e-01,1.226e+00,4.907e-01,1.178e+00
2.936e-01,1.105e+00,7.130e-01,1.465e+00,2.081e+00,1.144e+00,1.240e+00,1.512e+00,1.074e+00,2.278e+00,1.140e+00,1.537e+00,1.421e+00,1.194e+00,1.509e+00,1.121e+00,1.704e+00,9.504e-01,8.897e-01,1.476e+00,1.749e+00,1.381e+00,1.388e+00,1.423e+00,1.399e+00,1.331e+00,1.124e+00,1.575e+00,1.206e+00,9.775e-01,9.023e-01,1.703e+00,1.656e+00,1.022e+00,1.150e+00,1.687e+00,1.378e+00,7.961e-01,1.585e+00
2.050e-01,9.970e-01,6.312e-01,1.003e+00,1.892e+00,1.662e+00,1.671e+00,1.730e+00,1.827e+00,1.750e+00,1.222e+00,1.360e+00,1.735e+00,1.180e+00,1.265e+00,1.793e+00,1.667e+00,1.532e+00,1.666e+00,1.398e+00,1.773e+00,1.674e+00,1.971e+00,1.707e+00,8.090e-01,1.318e+00,1.657e+00,1.536e+00,1.415e+00,1.432e+00,1.256e+00,1.153e+00,1.188e+00,9.871e-01,8.711e-01,1.531e+00,1.230e+00,1.456e+00,1.956e+00
7.041e-04,2.634e-01,3.919e-01,2.663e-01,3.379e-01,5.581e-01,6.648e-01,5.677e-01,5.630e-01,8.478e-01,4.413e-01,1.412e+00,1.285e+00,2.771e-01,1.018e+00,6.613e-01,5.718e-01,1.485e+00,1.362e+00,7.386e-01,9.198e-01,1.270e+00,7.741e-01,9.160e-01,9.192e-01,3.425e-01,9.491e-01,7.211e-01,4.025e-01,5.083e-01,7.023e-01,1.169e+00,1.043e+00,1.228e+00,9.070e-01,9.774e-01,1.383e+00,1.759e-01,1.338e+00
2.334e-01,6.566e-01,5.975e-01,1.031e+00,1.488e+00,1.043e+00,1.729e+00,1.639e+00,1.657e+00,2.520e+00,1.995e+00,2.305e+00,2.062e+00,1.513e+00,2.052e+00,1.533e+00,1.929e+00,2.303e+00,2.054e+00,1.787e+00,2.017e+00,2.711e+00,1.676e+00,2.055e+00,2.467e+00,1.488e+00,1.583e+00,1.666e+00,1.411e+00,1.848e+00,1.784e+00,1.966e+00,2.229e+00,2.389e+00,2.109e+00,2.330e+00,2.492e+00,1.106e+00,2.061e+00
1.795e-02,9.756e-01,1.293e+00,9.375e-01,1.269e+00,1.744e+00,1.594e+00,2.257e+00,2.617e+00,2.084e+00,1.456e+00,2.842e+00,2.674e+00,1.184e+00,2.619e+00,2.273e+00,2.254e+00,2.792e+00,3.280e+00,2.169e+00,2.318e+00,2.866e+00,2.555e+00,2.629e+00,2.284e+00,1.574e+00,2.945e+00,1.894e+00,1.547e+00,2.225e+00,2.039e+00,2.469e+00,2.310e+00,2.613e+00,1.549e+00,2.661e+00,2.956e+00,7.808e-01,2.433e+00
2.014e-01,9.159e-01,8.079e-01,1.052e+00,1.680e+00,1.524e+00,1.598e+00,2.057e+00,2.212e+00,2.395e+00,1.634e+00,2.277e+00,3.252e+00,1.846e+00,2.166e+00,2.657e+00,2.693e+00,2.212e+00,3.075e+00,2.811e+00,2.686e+00,3.146e+00,2.661e+00,2.874e+00,2.383e+00,2.144e+00,2.629e+00,2.443e+00,2.113e+00,2.680e+00,2.554e+00,2.797e+00,2.859e+00,3.149e+00,1.494e+00,2.748e+00,2.691e+00,1.452e+00,3.354e+00
2.796e-01,5.954e-01,4.865e-01,8.254e-01,1.158e+00,7.799e-01,1.210e+00,1.500e+00,1.456e+00,3.015e+00,2.351e+00,2.675e+00,3.178e+00,2.402e+00,2.217e+00,2.106e+00,2.782e+00,2.303e+00,2.799e+00,2.451e+00,2.550e+00,3.777e+00,2.465e+00,2.429e+00,2.869e+00,2.025e+00,2.760e+00,2.248e+00,2.160e+00,2.896e+00,3.154e+00,2.957e+00,2.912e+00,3.782e+00,2.266e+00,3.244e+00,3.210e+00,1.367e+00,2.977e+00
