9.200e-01,9.708e-01,6.438e-01,7.867e-01,3.828e-01,7.668e-01,2.643e-01,1.349e-01,7.833e-01,9.236e-02,1.915e-01,4.054e-01,7.052e-01,1.101e-02,2.116e-01,6.628e-01,4.898e-01,6.530e-01,7.300e-01,1.670e-01,9.916e-01,3.368e-01,8.288e-01,6.668e-01,4.535e-01,7.875e-01,3.668e-01,7.855e-01,6.511e-01,5.372e-01
6.424e-01,8.920e-01,1.153e+00,1.168e+00,4.029e-01,1.265e+00,5.506e-01,8.399e-01,5.926e-01,7.591e-01,4.221e-01,1.180e+00,1.146e+00,6.009e-01,3.523e-01,1.094e+00,1.316e+00,8.120e-01,6.703e-01,4.526e-01,8.513e-01,5.841e-01,7.021e-01,1.305e+00,1.083e+00,1.019e+00,1.065e+00,9.681e-01,7.541e-01,9.474e-01
6.497e-01,8.483e-01,1.942e+00,1.373e+00,8.848e-01,1.636e+00,8.658e-01,6.972e-01,6.186e-01,1.286e+00,4.232e-01,1.912e+00,1.139e+00,1.116e+00,3.261e-01,9.970e-01,1.705e+00,1.592e+00,1.470e+00,1.033e+00,1.504e+00,1.361e+00,1.655e+00,2.022e+00,1.863e+00,1.181e+00,1.442e+00,1.295e+00,1.080e+00,1.719e+00
4.572e-01,5.913e-01,1.591e+00,1.982e+00,9.167e-01,1.967e+00,7.475e-01,6.474e-01,5.914e-01,1.358e+00,1.204e+00,1.651e+00,9.634e-01,1.747e+00,1.185e+00,1.177e+00,2.308e+00,1.858e+00,1.871e+00,1.696e+00,1.250e+00,1.323e+00,1.445e+00,2.002e+00,1.666e+00,1.748e+00,1.603e+00,1.638e+00,1.248e+00,1.908e+00
2.654e-01,4.551e-01,1.337e+00,1.477e+00,1.051e+00,2.229e+00,1.211e+00,1.135e+00,4.952e-01,1.533e+00,1.713e+00,1.936e+00,1.313e+00,1.623e+00,8.205e-01,1.362e+00,2.594e+00,1.875e+00,1.631e+00,1.981e+00,1.704e+00,1.920e+00,1.358e+00,2.217e+00,2.364e+00,1.524e+00,2.293e+00,1.570e+00,1.724e+00,1.930e+00
6.494e-01,8.050e-01,1.210e+00,1.112e+00,6.324e-01,2.291e+00,1.562e+00,1.029e+00,9.863e-01,1.718e+00,1.453e+00,1.675e+00,1.376e+00,9.084e-01,1.209e+00,1.563e+00,2.191e+00,2.100e+00,1.325e+00,1.130e+00,1.614e+00,1.186e+00,1.122e+00,2.312e+00,1.669e+00,1.410e+00,1.844e+00,1.717e+00,1.508e+00,1.889e+00
3.283e-01,5.202e-01,1.471e+00,1.111e+00,8.579e-01,1.737e+00,1.536e+00,1.702e+00,4.756e-01,1.520e+00,1.049e+00,2.344e+00,1.465e+00,1.428e+00,8.852e-01,1.439e+00,2.279e+00,1.942e+00,1.406e+00,1.671e+00,2.395e+00,1.736e+00,1.913e+00,2.603e+00,2.077e+00,1.124e+00,2.070e+00,1.396e+00,1.889e+00,1.679e+00
1.830e-01,3.761e-01,7.323e-01,1.576e+00,3.622e-01,1.661e+00,1.111e+00,2.146e+00,6.859e-01,2.116e+00,2.414e+00,2.101e+00,2.106e+00,2.183e+00,2.541e+00,2.339e+00,2.588e+00,2.371e+00,1.574e+00,2.324e+00,2.227e+00,1.624e+00,1.670e+00,2.273e+00,1.135e+00,1.658e+00,2.330e+00,2.202e+00,2.080e+00,1.800e+00
6.281e-01,7.481e-01,1.494e+00,1.358e+00,1.105e+00,2.910e+00,2.051e+00,1.359e+00,1.732e+00,3.037e+00,2.645e+00,3.012e+00,2.086e+00,2.017e+00,1.689e+00,2.143e+00,3.328e+00,3.748e+00,2.354e+00,2.580e+00,2.972e+00,2.758e+00,2.772e+00,3.694e+00,2.700e+00,2.709e+00,3.078e+00,2.498e+00,2.840e+00,3.434e+00
4.692e-01,5.550e-01,5.916e-01,7.277e-01,6.431e-01,1.396e+00,1.263e+00,1.394e+00,9.130e-01,1.646e+00,1.585e+00,1.990e+00,2.158e+00,1.262e+00,1.361e+00,1.719e+00,2.435e+00,2.838e+00,2.038e+00,2.090e+00,3.044e+00,2.468e+00,2.609e+00,2.409e+00,2.206e+00,1.464e+00,2.166e+00,1.444e+00,2.245e+00,2.220e+00
